mol,bond,Atom i,Atom j,Info,Core,Type
11,22,22,23,999,0,0
11,23,23,24,999,0,0
11,24,24,25,999,0,0
11,25,25,26,999,0,0
11,26,26,27,999,0,0
11,27,27,28,999,0,0
11,28,28,29,999,0,0
11,29,29,30,999,0,0
11,30,30,31,999,0,0
11,31,31,32,999,0,0
11,32,32,33,999,0,0
11,33,33,34,999,0,0
-
12,0,0,1,999,0,0
12,1,1,2,999,0,0
12,2,2,3,999,0,0
12,3,3,4,999,0,0
12,4,4,5,999,0,0
12,5,5,6,999,0,0
12,6,6,7,999,0,0
12,7,7,8,999,0,0
12,8,8,9,999,0,0
12,9,9,10,999,0,0
12,10,10,11,999,0,0
12,11,11,12,999,0,0
12,12,12,13,999,0,0
12,13,13,14,999,0,0
12,14,14,15,999,0,0
-
