mol,bond,Atom i,Atom j,Info,Core,Type
4,9,8,9,1,0,2
4,10,9,1,1,0,2
4,11,0,10,999,0,0
4,12,7,11,999,0,0
4,13,3,12,999,0,0
4,14,12,13,999,0,0
4,15,-1,-1,-1,-1,-1
-
5,0,0,1,0,0,2
5,1,1,2,0,0,2
5,2,2,3,0,0,2
5,3,3,4,0,0,2
5,4,4,5,0,0,2
5,5,5,0,0,0,2
5,6,1,6,1,0,1
5,7,6,7,1,0,1
5,8,7,8,1,0,1
5,9,8,9,1,0,1
5,10,9,2,1,0,1
5,11,7,10,999,0,0
5,12,10,11,999,0,0
5,13,11,12,999,0,0
5,14,10,13,999,0,0
5,15,-1,-1,-1,-1,-1
-
6,0,0,1,0,0,1
6,1,1,2,0,0,1
6,2,2,3,0,0,1
6,3,3,4,0,0,1
6,4,4,5,0,0,1
6,5,5,0,0,0,1
6,6,1,6,1,0,1
6,7,6,7,1,0,1
6,8,7,8,1,0,1
6,9,8,9,1,0,1
6,10,9,2,1,0,1
6,11,7,10,999,0,0
6,12,-1,-1,-1,-1,-1
-
7,0,0,1,999,0,0
7,1,1,2,999,0,0
7,2,-1,-1,-1,-1,-1
-
8,0,0,1,0,0,1
8,1,1,2,0,0,1
8,2,2,3,0,0,1
8,3,3,4,0,0,1
8,4,4,5,0,0,1
8,5,5,0,0,0,1
8,6,5,6,999,0,0
8,7,6,7,999,0,0
8,8,7,8,999,0,0
8,9,8,9,1002,0,0
8,10,7,10,1003,0,3
8,11,-1,-1,-1,-1,-1
-
9,0,0,1,0,0,1
9,1,1,2,0,0,1
9,2,2,3,0,0,1
9,3,3,4,0,0,1
9,4,4,5,0,0,1
9,5,5,0,0,0,1
9,6,5,6,999,0,0
9,7,6,7,999,0,0
9,8,7,8,999,0,0
9,9,8,9,1003,0,3
9,10,7,10,1002,0,0
9,11,-1,-1,-1,-1,-1
-
10,0,0,1,0,0,1
10,1,1,2,0,0,1
10,2,2,3,0,0,1
10,3,3,4,0,0,1
10,4,4,5,0,0,1
10,5,5,0,0,0,1
10,6,5,6,999,0,0
10,7,6,7,1003,0,0
10,8,7,8,1003,0,0
10,9,8,9,999,0,0
10,10,7,10,1003,0,3
10,11,-1,-1,-1,-1,-1
-
11,0,0,1,0,0,1
11,1,1,2,0,0,1
11,2,2,3,0,0,1
11,3,3,4,0,0,1
11,4,4,5,0,0,1
11,5,5,0,0,0,1
11,6,5,6,999,0,0
11,7,6,7,999,0,0
11,8,7,8,999,0,0
11,9,8,9,1004,0,3
11,10,-1,-1,-1,-1,-1
-
12,0,0,1,999,0,0
12,1,1,2,900,0,3
12,2,2,3,999,0,0
12,3,-1,-1,-1,-1,-1
-
13,0,0,1,999,0,0
13,1,1,2,901,0,3
13,2,2,3,999,0,0
13,3,-1,-1,-1,-1,-1
-
14,0,0,1,999,0,0
14,1,1,2,1000,0,0
14,2,1,3,1001,0,0
14,3,1,4,1002,0,0
14,4,-1,-1,-1,-1,-1
-
15,0,0,1,999,0,0
15,1,1,2,1000,0,0
15,2,1,3,1002,0,0
15,3,1,4,1001,0,0
15,4,-1,-1,-1,-1,-1
-
